Type of Phone	Authentication	Connectivity	Memory	Battery Level
iPhone 14	Fingerprint	3G	1 TB	60-79%
Huawei Mate	Text Password	4G LTE	1 TB	20-39%
iPhone 13	Face recognition	4G LTE	256 GB	80-100%
Galaxy Z	Text Password	5G Edge	512 GB	<20%
Google Pixel 7	Fingerprint	Wireless	512 GB	80-100%
Google Pixel 7	Text Password	3G	256 GB	40-59%
Huawei Mate	Face recognition	5G Edge	128 GB	40-59%
iPhone 13	Text Password	Wireless	128 GB	60-79%
Galaxy Z	Face recognition	3G	128 GB	20-39%
iPhone 14	Face recognition	Wireless	256 GB	<20%
Google Pixel 7	Fingerprint	4G LTE	128 GB	<20%
iPhone 13	Fingerprint	5G Edge	256 GB	20-39%
Google Pixel 7	Face recognition	5G Edge	1 TB	60-79%
Galaxy Z	Fingerprint	Wireless	1 TB	40-59%
iPhone 14	Face recognition	4G LTE	512 GB	40-59%
iPhone 14	Text Password	5G Edge	128 GB	80-100%
Huawei Mate	Fingerprint	3G	512 GB	60-79%
iPhone 13	Text Password	3G	1 TB	<20%
Galaxy Z	Face recognition	4G LTE	256 GB	60-79%
Galaxy Z	Face recognition	3G	1 TB	80-100%
Huawei Mate	Text Password	Wireless	256 GB	<20%
iPhone 13	Fingerprint	5G Edge	512 GB	40-59%
Huawei Mate	Fingerprint	4G LTE	256 GB	80-100%
Google Pixel 7	Face recognition	Wireless	512 GB	20-39%
iPhone 14	Face recognition	Wireless	512 GB	20-39%
